true_open,true_high,true_low,true_close,true_volume,true_amount,pred_open,pred_high,pred_low,pred_close,pred_volume,pred_amount,timestamp
404.99,414.39,403.59,414.39,204046.0,9252272128.0,404.9902648925781,414.3896179199219,403.5896911621094,414.389892578125,204046.0,9252272128.0,2018-02-21
411.39,411.59,402.79,402.79,223850.0,10103931904.0,411.3897399902344,411.5903015136719,402.78997802734375,402.7901611328125,223850.0,10103931904.0,2018-02-22
410.39,410.99,405.79,409.79,149921.0,6785912320.0,410.3895263671875,410.990234375,405.7899475097656,409.7896728515625,149921.0,6785911808.0,2018-02-23
412.39,413.39,404.79,409.39,212521.0,9607596032.0,412.3898010253906,413.39013671875,404.7897644042969,409.3898010253906,212521.0,9607596032.0,2018-02-26
414.39,414.39,398.59,402.39,220089.0,9892032512.0,414.3900146484375,414.3901672363281,398.5899353027344,402.39056396484375,220088.984375,9892032512.0,2018-02-27
395.39,396.39,387.39,388.59,325601.0,14167755776.0,395.38983154296875,396.3902893066406,387.38970947265625,388.5901184082031,325600.96875,14167755776.0,2018-02-28
386.39,403.79,384.39,403.39,271135.0,11933605888.0,386.3900451660156,403.7898864746094,384.39007568359375,403.3898620605469,271135.0,11933605888.0,2018-03-01
393.39,396.99,392.39,392.39,258915.0,11341295616.0,393.39031982421875,396.98992919921875,392.38958740234375,392.3897705078125,258915.0,11341295616.0,2018-03-02
392.39,395.99,381.39,381.39,240387.0,10358474752.0,392.39013671875,395.9896545410156,381.3898620605469,381.38995361328125,240387.015625,10358473728.0,2018-03-05
391.39,400.39,386.39,394.99,248125.0,10862231552.0,391.3897705078125,400.3896484375,386.3898010253906,394.98968505859375,248125.0,10862231552.0,2018-03-06
391.59,397.59,386.39,390.59,192566.0,8378697728.0,391.59014892578125,397.59014892578125,386.39031982421875,390.5904235839844,192565.984375,8378697728.0,2018-03-07
396.39,400.39,394.39,399.39,175064.0,7737290752.0,396.390625,400.38995361328125,394.39019775390625,399.3897399902344,175064.0,7737290752.0,2018-03-08
401.39,404.59,401.39,403.39,130251.0,5813403648.0,401.3900451660156,404.5899658203125,401.39019775390625,403.3896789550781,130251.0,5813404160.0,2018-03-09
411.79,416.39,411.19,416.39,255130.0,11660311552.0,411.7900085449219,416.3898010253906,411.18988037109375,416.38958740234375,255130.0,11660311552.0,2018-03-12
416.39,419.19,412.19,419.19,185016.0,8515214336.0,416.3898620605469,419.1903381347656,412.1890563964844,419.19091796875,185016.0,8515214336.0,2018-03-13
413.79,420.19,409.99,419.99,226118.0,10323251200.0,413.7903137207031,420.1905212402344,409.9903869628906,419.9896240234375,226118.0,10323250176.0,2018-03-14
415.59,426.39,414.39,424.99,247026.0,11506629632.0,415.59075927734375,426.3902587890625,414.3886413574219,424.98992919921875,247026.0,11506629632.0,2018-03-15
423.39,429.19,421.59,421.59,238990.0,11179190272.0,423.3897399902344,429.1897888183594,421.590087890625,421.58990478515625,238990.0,11179190272.0,2018-03-16
421.39,426.79,418.19,418.19,162870.0,7584356864.0,421.3900451660156,426.7899475097656,418.1898498535156,418.1895751953125,162870.0,7584356864.0,2018-03-19
412.79,424.79,412.39,422.99,219533.0,10158755840.0,412.78997802734375,424.7904052734375,412.3893737792969,422.99041748046875,219533.0,10158754816.0,2018-03-20
428.59,431.99,416.99,418.99,282440.0,13278687232.0,428.59014892578125,431.9889831542969,416.9900207519531,418.9895324707031,282440.0,13278687232.0,2018-03-21
407.99,415.39,394.99,395.79,718483.0,32204687360.0,407.9905090332031,415.3900146484375,394.9903564453125,395.7904357910156,718483.0,32204689408.0,2018-03-22
361.39,381.19,361.39,376.39,3084368.0,126000000000.0,361.3900146484375,381.19024658203125,361.389892578125,376.3893737792969,3084367.75,125999996928.0,2018-03-23
375.79,387.39,368.79,382.99,472997.0,19913242624.0,375.7900085449219,387.3901672363281,368.7907409667969,382.9906005859375,472997.0,19913244672.0,2018-03-26
391.59,394.99,386.59,388.59,426442.0,18516920320.0,391.58978271484375,394.9905090332031,386.58990478515625,388.5904235839844,426442.0,18516920320.0,2018-03-27
376.39,383.79,367.79,368.59,489647.0,20468643840.0,376.3896179199219,383.7900695800781,367.790283203125,368.58978271484375,489647.0,20468643840.0,2018-03-28
370.39,373.39,361.59,365.99,411154.0,16899466240.0,370.39019775390625,373.39013671875,361.5898132324219,365.99005126953125,411154.0,16899466240.0,2018-03-29
360.99,368.79,356.99,365.79,328866.0,13371121664.0,360.9901428222656,368.7901611328125,356.9896240234375,365.78985595703125,328866.0,13371120640.0,2018-04-03
364.59,368.39,353.99,353.99,358617.0,14454637568.0,364.59014892578125,368.390380859375,353.9901428222656,353.98944091796875,358617.0,14454637568.0,2018-04-04
361.19,365.99,356.79,362.19,265863.0,10780751872.0,361.1907043457031,365.989990234375,356.7893371582031,362.19024658203125,265863.03125,10780751872.0,2018-04-06
364.39,370.99,360.59,366.39,212208.0,8701468672.0,364.3893127441406,370.9905090332031,360.5911560058594,366.3897705078125,212208.0,8701467648.0,2018-04-09
