true_open,true_high,true_low,true_close,true_volume,true_amount,pred_open,pred_high,pred_low,pred_close,pred_volume,pred_amount,timestamp
392.39,401.19,391.39,400.59,205922.0,9098470400.0,392.39273,401.18994,391.38733,400.58157,205767.5,9100589000.0,2018-01-16
399.39,405.39,395.59,405.39,248796.0,11066596352.0,399.38354,405.3909,395.58838,405.36902,248679.47,11059147000.0,2018-01-17
408.99,410.39,401.19,404.19,217960.0,9800451072.0,408.99023,410.40903,401.19885,404.20444,218036.39,9799207000.0,2018-01-18
408.59,409.39,404.39,408.79,147492.0,6648683008.0,408.59213,409.41425,404.39795,408.81216,147757.03,6670879000.0,2018-01-19
411.39,416.39,406.79,416.39,193649.0,8841470976.0,411.3972,416.39264,406.80963,416.3979,193473.75,8843141000.0,2018-01-22
422.59,430.99,419.99,430.99,238720.0,11195016192.0,422.5123,430.92633,419.9271,430.8878,238754.19,11187355000.0,2018-01-23
430.39,430.79,423.19,425.39,249290.0,11729419264.0,430.39035,430.79053,423.18848,425.39627,249305.05,11733268000.0,2018-01-24
422.59,424.59,414.39,414.39,277324.0,12821918720.0,422.59366,424.6211,414.42764,414.4065,277058.4,12821248000.0,2018-01-25
420.59,427.59,420.39,427.59,220125.0,10310863872.0,420.52454,427.53845,420.2992,427.50107,219955.0,10300814000.0,2018-01-26
430.19,432.99,422.79,427.99,225046.0,10608507904.0,430.17123,432.97333,422.7625,427.95898,225012.25,10609226000.0,2018-01-29
419.59,425.99,417.59,418.19,222557.0,10333929472.0,419.58847,425.99472,417.5775,418.21722,223029.34,10350810000.0,2018-01-30
411.99,424.79,411.59,419.99,276092.0,12754797568.0,411.98428,424.76117,411.59113,419.95218,275343.62,12738979000.0,2018-01-31
422.39,423.19,416.39,416.39,171194.0,7917368832.0,422.42468,423.24167,416.43512,416.4827,172903.31,7988190700.0,2018-02-01
415.39,416.39,407.39,408.79,243288.0,11080881152.0,415.3725,416.3637,407.36395,408.7728,243344.97,11079078000.0,2018-02-02
390.19,402.19,389.19,397.39,403920.0,17778460672.0,390.21164,402.2233,389.2477,397.44727,402641.88,17718575000.0,2018-02-05
379.39,381.79,363.59,366.39,868497.0,36273332224.0,379.3832,381.7852,363.58044,366.40176,868088.1,36248035000.0,2018-02-06
386.39,389.19,369.59,371.19,610517.0,25868890112.0,386.3694,389.18768,369.5878,371.1916,610809.1,25876636000.0,2018-02-07
375.19,380.39,370.39,376.59,354379.0,14875059200.0,375.18918,380.391,370.38815,376.5866,354521.97,14881162000.0,2018-02-08
359.39,367.39,354.39,363.79,691568.0,27953815552.0,359.4313,367.42545,354.42532,363.8178,690799.3,27915905000.0,2018-02-09
369.19,376.19,365.99,365.99,338540.0,14074697728.0,369.182,376.17142,365.97372,365.97134,338967.03,14089445000.0,2018-02-12
