q_exit,q_half,total_return
0.0,0.01,0.5397359999999998
0.0,0.02,0.5238739999999997
0.0,0.03,0.5068539999999997
0.0,0.04,0.47154799999999986
0.0,0.05,0.44185399999999975
0.0,0.06,0.5126319999999995
0.0,0.07,0.51094
0.0,0.08,0.5259199999999997
0.0,0.09,0.6795199999999997
0.0,0.1,0.6628559999999997
0.0,0.11,0.6634739999999999
0.0,0.12,0.6776190000000002
0.0,0.13,0.6437919999999995
0.0,0.14,0.6160839999999999
0.0,0.15,0.6343739999999995
0.0,0.16,0.5923960000000004
0.0,0.17,0.5784989999999997
0.0,0.18,0.5784989999999997
0.0,0.19,0.5015059999999998
0.0,0.2,0.5015059999999998
0.0,0.21,0.5176890000000003
0.0,0.22,0.5627319999999996
0.0,0.23,0.5586029999999995
0.0,0.24,0.4558139999999997
0.0,0.25,0.4701209999999998
0.0,0.26,0.418118
0.0,0.27,0.3954329999999999
0.0,0.28,0.4184459999999999
0.0,0.29,0.4660709999999997
0.0,0.3,0.5245669999999998
0.0,0.31,0.5245669999999998
0.0,0.32,0.5052609999999997
0.0,0.33,0.48950000000000005
0.0,0.34,0.5092209999999997
0.0,0.35000000000000003,0.5092209999999997
0.0,0.36,0.5083469999999999
0.0,0.37,0.5339350000000003
0.0,0.38,0.554157
0.0,0.39,0.5389259999999998
0.0,0.4,0.5100540000000002
0.01,0.02,0.46226999999999974
0.01,0.03,0.4456859999999998
0.01,0.04,0.41174399999999967
0.01,0.05,0.36747399999999897
0.01,0.06,0.44597599999999926
0.01,0.07,0.4608379999999992
0.01,0.08,0.45470699999999975
0.01,0.09,0.6066019999999999
0.01,0.1,0.5740479999999999
0.01,0.11,0.5853719999999996
0.01,0.12,0.5733620000000001
0.01,0.13,0.5390299999999995
0.01,0.14,0.52722
0.01,0.15,0.550216
0.01,0.16,0.49796700000000005
0.01,0.17,0.4830740000000002
0.01,0.18,0.4830740000000002
0.01,0.19,0.39163400000000004
0.01,0.2,0.39163400000000004
0.01,0.21,0.3868999999999998
0.01,0.22,0.4790059999999998
0.01,0.23,0.47571499999999944
0.01,0.24,0.35798599999999947
0.01,0.25,0.399899
0.01,0.26,0.3534009999999992
0.01,0.27,0.2961549999999995
0.01,0.28,0.3438620000000001
0.01,0.29,0.3850039999999999
0.01,0.3,0.4095760000000004
0.01,0.31,0.4095760000000004
0.01,0.32,0.3781259999999993
0.01,0.33,0.4162309999999998
0.01,0.34,0.47057599999999966
0.01,0.35000000000000003,0.47052799999999984
0.01,0.36,0.4699519999999999
0.01,0.37,0.48017200000000004
0.01,0.38,0.4997229999999999
0.01,0.39,0.46604100000000015
0.01,0.4,0.4707210000000004
0.02,0.03,0.3962079999999992
0.02,0.04,0.3624099999999997
0.02,0.05,0.32054999999999945
0.02,0.06,0.39516199999999957
0.02,0.07,0.3944199999999993
0.02,0.08,0.405
0.02,0.09,0.5543880000000005
0.02,0.1,0.49425799999999986
0.02,0.11,0.5407219999999995
0.02,0.12,0.5198500000000004
0.02,0.13,0.47895499999999935
0.02,0.14,0.48470100000000027
0.02,0.15,0.4804420000000005
0.02,0.16,0.45624200000000004
0.02,0.17,0.4416979999999999
0.02,0.18,0.4416979999999999
0.02,0.19,0.37147099999999944
0.02,0.2,0.37147099999999944
0.02,0.21,0.38026299999999935
0.02,0.22,0.40942299999999987
0.02,0.23,0.42870299999999983
0.02,0.24,0.2812369999999995
0.02,0.25,0.33596599999999954
0.02,0.26,0.27890299999999923
0.02,0.27,0.25340899999999933
0.02,0.28,0.3123939999999996
0.02,0.29,0.3204549999999995
0.02,0.3,0.32937700000000003
0.02,0.31,0.32937700000000003
0.02,0.32,0.3161779999999996
0.02,0.33,0.3680399999999999
0.02,0.34,0.41860900000000023
0.02,0.35000000000000003,0.41856099999999974
0.02,0.36,0.41827899999999985
0.02,0.37,0.40984500000000024
0.02,0.38,0.45178200000000013
0.02,0.39,0.4194990000000003
